ID,reasoning,type,confidence
205,"Per-label assessment: 
- System Overview: Yes – Contains a “Project Overview” describing what the Antimetal Agent is and its key technologies.
- AI Integration: Yes – Multiple agent instructions (Claude Code context, commit-author, linux-systems-expert, wiki-keeper) and how/when to use them.
- Documentation References: Yes – Points to docs/performance-collectors.md, docs/ebpf-development.md, system-agent wiki, and code comment references to wiki pages.
- Architecture: Yes – “Architecture Overview” with core components table and directory structure.
- Implementation Details: Yes – Code style guides (Go, C/C++/eBPF), storage APIs, provider interfaces, collector patterns, and concrete code snippets.
- Build and Run: Yes – Make targets for build, docker multi-arch, eBPF build commands; guidance to run make help.
- Testing: Yes – Unit/integration/performance testing strategy, commands (make test, lint, fmt), and example integration test setup.
- Configuration and Environments: Yes – Prerequisites/tools, command-line flags, environment variables (NODE_NAME, HOST_PROC, etc.).
- Deployment and Operations: Yes – GoReleaser for releases, Kustomize/Helm deployment, namespace guidance, docker multi-arch.
- Project Management: No – Lacks backlog, planning, prioritization, or management processes.
- Development Process: Yes – Code review guidelines, commit/PR practices (lint-fix, commit-author), git operations for wiki submodule.
- Performance: Yes – Dedicated performance collectors, optimization tips, performance testing, pprof.
- Security: Yes – Runtime security (non-root, TLS, RBAC), license policy and enforcement.
- UI/UX: No – No user interface or UX guidance provided.
- Maintainability: Yes – Code style, review patterns, common pitfalls, and practices aimed at readability and long-term maintainability.
- Debugging: Yes – Debugging and monitoring section with logging, health endpoints, and kubectl commands.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'performance', 'security', 'maintainability', 'debugging']",9
206,"- System Overview: Yes — Contains a clear Project Overview and high-level description of the template and its purpose.
- AI Integration: No — Does not include instructions for an AI agent’s role or behavior; it’s context for humans/AI but not integration guidance.
- Documentation References: Yes — References “Video Tutorials” as supplementary learning resources.
- Architecture: Yes — Details repository structure and components (Move contract, Next.js app, Node scripts, Rust/TS indexers) and outlines DB schema tables.
- Implementation Details: No — Provides paths and commands but no code style rules or implementation-specific guidance/snippets.
- Build and Run: Yes — Lists concrete commands for dev/build/run across components (npm, cargo, scripts).
- Testing: Yes — Has a Testing section with commands and mentions integration tests.
- Configuration and Environments: Yes — Lists config files for different parts and Codespaces setup with Aptos CLI installation.
- Deployment and Operations: Yes — Provides deploy scripts/commands for Move contracts (deployment steps), though no CI/CD pipeline.
- Project Management: No — No backlog, planning, or management process content.
- Development Process: Yes — Includes Development Workflow and Recommended Development Flow steps.
- Performance: No — No performance tuning or optimization guidance.
- Security: No — No security architecture or best practices mentioned.
- UI/UX: No — Mentions UI libraries but no UX guidelines or standards.
- Maintainability: No — Lacks maintainability principles or refactoring/upgrade guidance.
- Debugging: No — No debugging tips or error-handling guidance.","['system_overview', 'documentation_references', 'architecture', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process']",8
207,"- system_overview: No — The file is contribution/testing guidelines, not a high-level description of the system’s purpose or features.
- ai_integration: No — There are no instructions directed at AI agents or tools.
- documentation_references: Yes — It advises consulting official Solidity docs, foundry.toml, and project README/package.json/Makefile for commands.
- architecture: Yes — The “Project Structure” section outlines directories and key components (src/test/script/lib and notable contracts).
- implementation_details: Yes — Provides concrete coding practices (assembly usage rules, error handling with custom errors, CEI pattern) with code snippets.
- build_run: Yes — Lists explicit commands (forge build/test, snapshots, npm scripts) and how to run/benchmark.
- test: Yes — Extensive testing guidelines, fuzz tests, checklists, and commands (forge test, coverage, benchmarks).
- config_environment: No — Mentions foundry.toml but does not provide setup steps or environment configuration procedures.
- deployment_operations: No — No CI/CD or deployment/release operations described (only a brief note to check CI workflows).
- project_management: No — No backlog/planning/organization guidance.
- development_process: Yes — PR requirements, pre-commit checks, testing requirements before PR, formatting guidance.
- performance: Yes — Gas optimization rules, benchmarking workflow, and snapshot/diff processes.
- security: Yes — Security checklist and detailed reentrancy protection guidance (CEI pattern, nonReentrant) with rules.
- ui_ux: No — No UI/UX guidance.
- maintainability: Yes — Emphasis on simplicity, minimizing changes, documenting assembly intent, and consistent error handling improves long-term maintainability.
- debugging: Yes — Recommends using Cast for debugging failed transactions and traces; notes better error identification in tests and debugging.","['documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'development_process', 'performance', 'security', 'maintainability', 'debugging']",8
208,"- system_overview: Yes — Provides a clear Project Overview describing KubeFleet’s purpose and main components (Hub/Member agents).
- ai_integration: Yes — The file explicitly states it provides guidance to Claude Code (AI agent).
- documentation_references: Yes — References an external style guide (Uber Go Style Guide) for further guidance.
- architecture: Yes — Includes Architecture Overview, core API types, key controllers, scheduler framework, placement strategies, directory structure, and key patterns.
- implementation_details: Yes — Gives concrete guidance on interfaces to implement, coding/style practices, file naming, and controller patterns.
- build_run: Yes — Lists make commands to build binaries, run agents, generate code, build/push Docker images.
- test: Yes — Provides commands for running unit/integration/E2E tests and detailed testing patterns and conventions.
- config_environment: No — Does not describe environment variables or configuration setup beyond test cluster orchestration.
- deployment_operations: No — No CI/CD, release, or operational runbook details.
- project_management: No — No backlog, planning, or organizational process content.
- development_process: Yes — PR/commit prefix conventions and pre-PR checks (make reviewable) are defined.
- performance: No — No performance-focused guidelines or optimizations.
- security: No — No security architecture or best practices described.
- ui_ux: No — No user interface or experience guidance.
- maintainability: Yes — Style guidance, use of standard library, thorough testing, and consistent patterns support maintainability.
- debugging: No — Aside from mentioning event recording, there are no debugging tips or procedures.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'development_process', 'maintainability']",9
209,"- system_overview: Yes. Contains a 'Project Overview' describing the library’s purpose and features (OAuth2, WebAuthn, Axum integration).
- ai_integration: Yes. File explicitly targets ""Claude Code"" and provides agent-oriented guidance and reminders.
- documentation_references: Yes. References supporting docs and files (e.g., docs/TestStrategy.md, dot.env.example).
- architecture: Yes. Includes an 'Architecture' section with package structure, modules, and design principles.
- implementation_details: Yes. Provides concrete coding guidelines (use thiserror over anyhow, minimal visibility, test placement, use of test_utils) and quality standards.
- build_run: Yes. Lists exact build/test commands, demo run instructions, and database setup commands.
- test: Yes. Provides test commands, a testing strategy, and testing standards/guidelines.
- config_environment: Yes. Details environment variables and storage configuration; includes DB/Redis setup.
- deployment_operations: No. No CI/CD, release, or production ops procedures are described.
- project_management: No. No backlog/planning/prioritization artifacts; guidance is development-focused rather than PM.
- development_process: Yes. Contains development workflow, change approval, commit message guidelines, and required checks.
- performance: No. No performance tuning or optimization guidance.
- security: Yes. Mentions security-focused design principles (CSRF protection, secure sessions, tokens).
- ui_ux: No. No UI/UX standards or interface guidance.
- maintainability: Yes. Emphasizes simplicity, minimal dependencies, code quality checks, and clean design for easier maintenance.
- debugging: Yes. Provides a debugging tip to check coordination layer logs; also includes db/cache reset commands useful in troubleshooting.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'security', 'maintainability', 'debugging']",9
210,"- ai_integration: Yes. The file explicitly targets Claude Code and instructs the agent to use Context7 MCP tools for code generation and documentation lookup.
- system_overview: Yes. It includes a Project Overview describing Twenty as an open-source CRM in an Nx monorepo.
- architecture: Yes. There is an Architecture Overview with tech stack, package structure, state management, backend architecture, and database components.
- build_run: Yes. Contains concrete commands for starting dev servers, building packages, GraphQL type generation, and database operations.
- test: Yes. Provides test commands (unit, integration, Storybook, E2E) and a Testing Strategy section.
- development_process: Yes. “Development Workflow” and “Before Making Changes” lay out workflow steps and pre-commit practices; Code Style Notes guide the process.
- implementation_details: Yes. Key Development Principles and Code Style Notes dictate coding conventions (functional components, named exports, Emotion, Lingui, Nx imports, component structure).
- documentation_references: Yes. Lists “Important Files” (nx.json, tsconfig, package.json, .cursor/rules) serving as references for the agent.
- config_environment: No. No environment setup steps or configuration instructions (e.g., env vars, installation/venv) are provided.
- deployment_operations: No. No CI/CD or release/operations guidance.
- project_management: No. No backlog, planning, or organizational guidance.
- performance: No. No performance guidelines or optimization advice.
- security: No. No security practices or permission models described.
- ui_ux: No. No UI/UX standards beyond general tech choices.
- maintainability: No. While conventions aid maintainability, there’s no explicit maintenance policy or guidance.
- debugging: No. No debugging or troubleshooting tips/commands.
","['ai_integration', 'system_overview', 'architecture', 'build_run', 'test', 'development_process', 'implementation_details', 'documentation_references']",9
211,"The file defines a rigorous development workflow and KB maintenance process, includes a repo tree (project map), specific implementation rules, and concrete commands for setup, running, and testing. It also contains AI-agent-style guidance (ReAct, reason-before-acting) and documentation/KBase instructions. Labels present: ai_integration (ReAct/agent behavior guidance), documentation_references (KB workflow and docs sync; docs directory listed), architecture (project map with components), implementation_details (API config, message format, import patterns, tool registration), build_run (commands to run examples, ruff, pre-commit), test (pytest commands, testing philosophy, mandatory passing tests), config_environment (uv venv, .venv activation, .env and env vars), development_process (small diffs, commit hooks, checklists). Absent: system_overview (no high-level purpose/features), deployment_operations (no CI/CD or prod ops), project_management (no backlog/roadmap planning), performance, security, ui_ux, maintainability (no explicit maintainability principles beyond code style), debugging (no debug tips/commands).","['ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process']",9
212,"- System Overview: Yes. Provides a clear overview of the npm utility, its purpose, and key behavior.
- AI Integration: Yes. The file explicitly states it provides guidance to Claude Code (an AI coding tool).
- Documentation References: Yes. References RULES.md and PERSONALIZATION.md as supporting docs.
- Architecture: Yes. Includes 'Architecture & Key Components' and describes structure of rule system and main CLI component.
- Implementation Details: Yes. Details specific helper functions, modules used, headers, and operational logic.
- Build and Run: Yes. Lists commands to install dependencies and run the CLI locally.
- Testing: No. Despite a 'Development & Testing' header, no testing procedures or commands are provided.
- Configuration and Environments: No. No environment setup or configuration instructions.
- Deployment and Operations: Yes. Describes semantic-release, GitHub Actions workflows, npm publishing, changelog, and GitHub releases.
- Project Management: No. No planning/backlog or organizational process beyond release automation.
- Development Process: Yes. Instructs use of Conventional Commits and pushing to main to trigger releases.
- Performance: No. No performance guidance or optimizations.
- Security: No. No security considerations mentioned.
- UI/UX: No. No user interface/experience guidance.
- Maintainability: No. No maintenance principles or long-term maintainability guidelines.
- Debugging: No. No debugging tips or error handling guidance.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'deployment_operations', 'development_process']",9
213,"- System Overview: Yes – Contains a clear “Project Overview” describing purpose, key features, and monorepo apps.
- AI Integration: Yes – The file explicitly provides guidance to Claude Code (an AI agent).
- Documentation References: No – Does not include external links or reference documents.
- Architecture: Yes – Provides “Architecture & Key Components,” storage system, editor architecture, and project structure details.
- Implementation Details: Yes – Includes coding standards (Biome/Ultracite rules), strict TypeScript guidance, and example code patterns.
- Build and Run: Yes – Lists concrete development/build/lint and database migration commands, plus docker-compose usage.
- Testing: Yes – Has a testing section noting the current lack of unified commands and per-app setups.
- Configuration and Environments: Yes – Specifies required environment variables and local services via docker-compose.
- Deployment and Operations: No – Lacks CI/CD or production deployment procedures.
- Project Management: Yes – “Development Focus Areas” and “Areas to avoid” indicate priorities and planning guidance.
- Development Process: No – No commit/PR workflow, branching, or review process instructions.
- Performance: No – Mentions performance motivations/refactor but no concrete performance guidelines or procedures.
- Security: No – No security-related practices or models.
- UI/UX: Yes – Describes UI components (timeline canvas, preview, media, properties panels) and suggests UI/UX improvements.
- Maintainability: No – No explicit maintainability policies beyond general code quality rules.
- Debugging: No – No debugging tips/commands; error handling example is generic and not debugging guidance.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'project_management', 'ui_ux']",8
214,"- system_overview: Yes — Includes a clear Project Overview describing the purpose, scope, and supported platforms.
- ai_integration: No — Mentions AI tools (Claude, ChatGPT) only as applications, not instructions or roles for an AI agent.
- documentation_references: Yes — Points to FAQ.md, REFERENCES.md, and referenced repositories; mentions inline documentation.
- architecture: Yes — Details core structure and key directories/modules.
- implementation_details: Yes — Provides code style, file organization, and dependency guidelines.
- build_run: Yes — Lists explicit Make commands, install script, and development workflow steps.
- test: No — No concrete testing framework or commands beyond “make build”; E2E testing mentioned only in CI summary.
- config_environment: Yes — Quick installation and application of configurations via Nix, plus key configuration files and environment-related troubleshooting.
- deployment_operations: Yes — Describes GitHub Actions CI/CD for builds, formatting, E2E, and dependency updates.
- project_management: No — Only names tools like Linear; no process or planning guidance.
- development_process: No — Brief note on commit message conventions, but no broader Git/PR workflow instructions.
- performance: No — No performance guidance or optimization notes.
- security: No — No security policies or permission models.
- ui_ux: No — No UI/UX principles or interface guidelines.
- maintainability: Yes — Emphasizes modular organization, documentation of complex configs, pinning deps, and automated updates (Renovate).
- debugging: Yes — Troubleshooting section with common issues and specific debug commands (nix-check, show-trace).","['system_overview', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'config_environment', 'deployment_operations', 'maintainability', 'debugging']",8
216,"This CLAUDE.md is guidance for an AI agent (Claude Code), includes a Project Overview describing purpose and features (system_overview), and an Architecture section detailing core components, plugins, discovery mechanism, and design patterns (architecture). It provides concrete implementation requirements (Python version, shell function behavior, config priority, danger evaluation, provider interfaces and entry points) (implementation_details). It lists development/installation/uninstall commands and utilities via Makefile/pipx/nix (build_run), and a Testing section with pytest commands and coverage (test). It specifies configuration locations, formats, and API key sourcing via env vars/config files (config_environment). It also calls out command danger-level evaluation as a safety/security requirement to handle in providers (security). Being explicitly addressed to Claude Code qualifies as AI integration (ai_integration). No CI/CD, project management, dev process, performance, UI/UX, maintainability, debugging, or external documentation references are provided.","['ai_integration', 'system_overview', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'security']",9
217,"- System Overview: Yes — The file states what Mise is and does (a Rust CLI managing environments, tools, tasks, and env vars) in the High-Level Structure section.
- AI Integration: Yes — It explicitly says the file provides guidance to Claude Code (claude.ai/code), targeting an AI agent.
- Documentation and References: No — While it includes commands to generate docs, it does not list reference documents or links for agents to consult.
- Architecture: Yes — There is a Code Architecture section detailing core components, backends, configuration system, and design patterns.
- Implementation Details: Yes — Contains concrete implementation notes (Backend trait, plugin metadata, config parsing steps, cross-platform specifics).
- Build and Run: Yes — Provides precise build commands (mise run build, ci) and build system details (Cargo workspace, build.rs, profiles, Cross.toml).
- Testing: Yes — Includes test commands, test structure, and testing strategy (unit, e2e, snapshots, Windows-specific tests).
- Configuration and Environments: Yes — Describes configuration files (mise.toml, settings.toml, registry.toml, tasks.toml), environment variable management, and debug env vars (MISE_DEBUG/MISE_TRACE).
- Deployment and Operations: No — No CI/CD pipeline or deployment/operations procedures beyond a generic local ""ci"" task.
- Project Management: No — No backlog, planning, or organizational guidance.
- Development Process: Yes — Enforces Conventional Commits and a pre-commit process with prescribed steps.
- Performance: No — Mentions a perf commit type but no performance guidance or optimization notes.
- Security: No — No security model, practices, or permissions guidance (only appears as a possible commit scope).
- UI/UX: No — No UI/UX standards or guidance.
- Maintainability: No — Lacks explicit maintenance/stability policies; content is more about architecture and implementation than maintainability principles.
- Debugging: Yes — A Debugging section instructs setting MISE_DEBUG/MISE_TRACE for verbose output.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'debugging']",8
218,"The file is explicit guidance for Claude Code (ai_integration). It provides a high-level description of design, components, and data flow (system_overview, architecture). It lists concrete dev/CLI commands, coverage, and how to run tests (build_run, test). It shows environment variables for Azure/OpenAI and dependency install via uv (config_environment). It documents a GitHub Actions pipeline and quality gates (deployment_operations). It includes code style rules, testing pattern, exception hierarchy, template usage examples (implementation_details) and principles like backward compatibility and documenting purpose (maintainability). It mentions authentication methods and a security scan (security). It outlines performance-related practices (performance). It gives debugging steps for LLM issues (debugging). It also references updating internal docs (.cursor/memories.md, lessons-learned) and examples directory (documentation_references).","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'performance', 'security', 'maintainability', 'debugging']",9
219,"- System Overview: Yes — The file includes an Overview and Technology Stack describing purpose and features.
- AI Integration: Yes — It explicitly addresses Claude Code and outlines MCP tool-calling patterns and agent usage.
- Documentation References: No — No links or reference list for external docs beyond mentioning Storybook.
- Architecture: Yes — “Architecture Overview” with routing, state management, component architecture, and directory structure.
- Implementation Details: Yes — Import alias rules, TypeScript/React component patterns, Zod validation practices, and code examples.
- Build and Run: Yes — NPM scripts for dev, build, start, Storybook.
- Testing: Yes — Test commands and testing requirements using Vitest + Testing Library.
- Configuration and Environments: Yes — Pomerium MCP route configuration YAML and Docker Compose mention.
- Deployment and Operations: No — No CI/CD or release/operational runbooks; Pomerium config is more environment config than deployment pipeline.
- Project Management: No — No backlog/roadmap or planning guidance.
- Development Process: No — No Git/PR/commit workflow.
- Performance: No — No performance guidance.
- Security: Yes — Authentication flow via Pomerium OAuth, token handling, identity headers, and audit logging.
- UI/UX: Yes — Accessibility-first, mobile-first design, error/loading boundaries, and UI component usage (Shadcn/ui).
- Maintainability: No — While code quality is discussed, there are no explicit maintainability policies beyond implementation details.
- Debugging: No — No debugging tips or procedures provided.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'security', 'ui_ux']",9
220,"- system_overview: Yes. Contains a 'Repository Overview' describing purpose, scope, platforms, and high-level components.
- ai_integration: Yes. File explicitly provides guidance to Claude Code (an AI agent) on how to work in this repo.
- documentation_references: No. No external docs or reference links provided.
- architecture: Yes. Details system structure, directory layout, host configurations, and architectural components (Nix flakes, Home Manager, nix-darwin, GNU Stow).
- implementation_details: Yes. Provides concrete module code snippet and specific CLI implementation conventions (shebang, set -e, arg parsing, command naming and docs template).
- build_run: Yes. Includes actionable commands to apply/run configs (dev nix switch) and install dotfiles (make install).
- test: No. No testing guidance or commands.
- config_environment: No. While it’s a config-focused repo, there are no environment setup steps (e.g., installing dependencies, setting env vars); mostly workflow and architecture.
- deployment_operations: No. No CI/CD or production ops instructions.
- project_management: No. No backlog, planning, or organizational process.
- development_process: No. Minimal Git note about staging; lacks commit/PR/review process instructions.
- performance: No. No optimization guidance.
- security: No. No security model or permissions guidance.
- ui_ux: No. No UI/UX guidance.
- maintainability: No. No explicit maintainability policies beyond general modularity mention.
- debugging: No. No debugging tips or commands.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run']",9
221,"- System Overview: Yes — Contains a clear Project Overview describing the MCP Slack server, language, and transport methods.
- AI Integration: Yes — Explicitly addresses Claude Code and provides tool selection guidance aimed at AI assistants.
- Documentation References: No — Does not list external docs or links; only mentions updating README.
- Architecture: Yes — Details core structure (schemas, main server), transport modes, and available tools.
- Implementation Details: Yes — Provides concrete steps for adding tools, schema usage (Zod), ES modules, error handling, and Slack search nuances.
- Build and Run: Yes — Includes specific npm scripts for build, dev, start, and running examples.
- Testing: No — Notes that no tests exist but provides no testing procedures or commands.
- Configuration and Environments: Yes — Lists required environment variables (SLACK_BOT_TOKEN, SLACK_USER_TOKEN) and notes validation.
- Deployment and Operations: Yes — Mentions publishing via GitHub Package Registry and PAT requirement.
- Project Management: No — No planning/backlog or organizational process content.
- Development Process: No — No git/PR/commit workflow guidelines.
- Performance: No — No performance optimization or QA guidance.
- Security: No — Token presence/validation is mentioned but no security model or best practices are provided.
- UI/UX: No — No UI/UX standards or guidance.
- Maintainability: Yes — Advises schema backward compatibility and presents a schema-driven structure and repeatable steps that aid maintainability.
- Debugging: No — Brief mention of logged queries, but no debugging tips or procedures.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'config_environment', 'deployment_operations', 'maintainability']",8
222,"The file explicitly instructs Claude Code (AI agent), includes concrete build/run and extensive test commands, and outlines architecture (core structure, key patterns, dependencies, and file organization). It also defines development process norms via Conventional Commits and required pre-commit checks. It briefly states what the project is (TypeScript Substack API client), serving as a system overview. It does not cover environment configuration, CI/CD, security, UI/UX, performance, debugging tips, or detailed implementation style beyond tooling, nor does it provide general documentation references beyond a single link.","['ai_integration', 'architecture', 'build_run', 'development_process', 'system_overview', 'test']",9
223,"- System Overview: No — The document is a rules/guidelines playbook and does not describe the system’s purpose or features at a high level.
- AI Integration: Yes — Explicitly targeted to Claude Code/Codex CLI, references MCP agents, Context7, and Clear Thought tool usage and introspection.
- Documentation References: Yes — Provides a “Documentation Search Workflow,” points to official docs, references internal docs (scripts/debug/README.md), and includes Attio API endpoint references/curl usage.
- Architecture: No — No high-level component breakdown or project structure is provided.
- Implementation Details: Yes — Concrete coding rules (formatResult returns string, logging structure, path aliases), mocking practices, and code snippets (TypeScript MCP test, curl).
- Build and Run: Yes — Numerous commands for running tasks (npm scripts, diagnostics, release scripts) and mentions of build usage.
- Testing: Yes — Extensive test matrix, CI vs. offline scope, performance testing commands, E2E diagnostics, MCP tool testing example.
- Configuration and Environments: Yes — Requires and names environment variables (ATTIO_API_KEY, WORKSPACE_API_UUID, TASKS_DEBUG, MCP_LOG_LEVEL, etc.) and their usage contexts.
- Deployment and Operations: Yes — CI/CD quality gates, pipeline stages, local CI simulation, release process, rollback commands.
- Project Management: Yes — PR size targets, issue label taxonomy and acceptance criteria, issue/PR workflow policies.
- Development Process: Yes — Git workflow (branch naming, commit format), hook policies, never use --no-verify, GitHub CLI usage patterns.
- Performance: Yes — Performance test suites, budgets, perf commands and CI budgets.
- Security: Yes — No secrets/PII in logs, security audit stage, API token filtering for cleanup, approval/plan modes.
- UI/UX: No — No UI/UX guidance is present.
- Maintainability: Yes — “any” reduction strategy, path aliases, test/src separation, documentation-first, PR sizing to keep reviews manageable.
- Debugging: Yes — Dedicated E2E diagnostics workflow, debug scripts, env vars for verbose logging, log capture and grep examples.","['ai_integration', 'documentation_references', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'project_management', 'development_process', 'performance', 'security', 'maintainability', 'debugging']",9
224,"- System Overview: Yes — The Project Overview section describes the app’s purpose, platforms, and capabilities.
- AI Integration: Yes — The file explicitly states it provides guidance to Claude Code (an AI agent).
- Documentation References: Yes — It references specific docs like common/docs/ACCOUNT_TYPES.md for business logic details.
- Architecture: Yes — It outlines project structure, directories, and key technologies.
- Implementation Details: No — It doesn’t provide coding style rules or concrete implementation patterns beyond tooling notes.
- Build and Run: Yes — Contains numerous make/Gradle/Xcode/Fastlane commands for building and running on devices.
- Testing: Yes — Includes testing commands (make test, flutter test) and integrates tests into the workflow.
- Configuration and Environments: Yes — Includes submodule initialization, version env vars, and device/provisioning setup steps.
- Deployment and Operations: Yes — Mentions release builds, Fastlane for deployment, and GitHub Actions CI references.
- Project Management: No — No backlog, planning, or organizational process content.
- Development Process: Yes — Provides an iterative development workflow with ordered steps.
- Performance: No — No performance optimization or QA guidance.
- Security: No — No security concerns or permission models discussed.
- UI/UX: No — No UI/UX guidelines or standards.
- Maintainability: No — No explicit maintainability guidelines beyond general notes.
- Debugging: Yes — Has a Device Testing & Debugging section with console-output run commands useful for debugging.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'debugging']",8
225,"- System Overview: Yes. It states the project is a VOICEVOX MCP server providing TTS and summarizes package roles and capabilities.
- AI Integration: Yes. The file is guidance for Claude Code and references Claude Desktop integration/use.
- Documentation References: No. Aside from a download URL for VOICEVOX Engine, it does not list documentation resources or reference materials for agents.
- Architecture: Yes. It details package structure, core components, server modes, and build system architecture.
- Implementation Details: Yes. It lists specific tools/methods (e.g., MCP tool names), file paths, playback implementations, and testing/mocking specifics.
- Build and Run: Yes. Extensive npm scripts for dev, build, start, and package-specific commands are provided.
- Testing: Yes. Test commands (Vitest), scope of tests, mocking strategy, and isolation are described.
- Configuration and Environments: Yes. Prerequisites and environment variables (VOICEVOX_URL, MCP_HTTP_* etc.) are defined.
- Deployment and Operations: No. No CI/CD or release/operational procedures beyond a local `npm pack` hint.
- Project Management: No. No planning/backlog or management process content.
- Development Process: Yes. A “Development Workflow” section with guidance (e.g., always run lint and tests before committing) is included.
- Performance: No. Mentions tsgo being faster, but no performance guidelines/optimization practices for the system itself.
- Security: No. No security model, permissions, or hardening guidance.
- UI/UX: No. No UI/UX standards or guidelines.
- Maintainability: No. While separation is noted, there are no explicit maintainability guidelines or policies.
- Debugging: No. No debugging tips or commands are provided.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process']",8
227,"- System Overview: No — The file does not describe the product’s purpose or features at a high level; it focuses on stack, structure, and workflows.
- AI Integration: Yes — It explicitly states it provides guidance to Claude Code and contains instructions tailored for an AI agent.
- Documentation References: Yes — It lists key repository files (e.g., pnpm-workspace.yaml, next.config.ts, docker-compose.yml) as important references for context.
- Architecture: Yes — Provides monorepo structure, package roles, and high-level architectural patterns.
- Implementation Details: Yes — Includes concrete implementation conventions (styling, GraphQL patterns, Storybook code example, component locations, naming patterns).
- Build and Run: Yes — Contains setup, development, and build commands for various packages.
- Testing: Yes — Offers testing commands and a testing strategy (Jest, RTL, mocked GraphQL, shared test utilities).
- Configuration and Environments: Yes — Specifies Node/pnpm versions, Docker Compose for backend services, and environment behavior (NEXT_PUBLIC_DOMAIN=localhost).
- Deployment and Operations: No — No CI/CD, release, or operational runbooks are described.
- Project Management: No — No backlog, planning, or organizational process content.
- Development Process: No — Lacks Git/PR/commit workflow guidance; story-writing tips are implementation-oriented.
- Performance: No — No optimization or performance guidelines.
- Security: No — No security model, permissions, or hardening guidance.
- UI/UX: Yes — Detailed design system, component categories, styling conventions, and Storybook usage/best practices.
- Maintainability: No — While conventions aid consistency, there are no explicit maintenance policies or guidelines beyond implementation conventions.
- Debugging: No — No debugging tips or error-handling guidance.","['ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'ui_ux']",8
228,"- System Overview: Yes. Provides high-level context of the compiler and its language features (pipeline summary, key constructs) giving an overall picture of the system.
- AI Integration: Yes. Explicitly states the file guides Claude Code (an AI agent) on working with this repository.
- Documentation References: No. Does not list external docs/links or reference materials; it describes internal files but not as reference docs.
- Architecture: Yes. Contains a dedicated ""Compiler Architecture"" section detailing the pipeline, phases, pass system, and module system.
- Implementation Details: No. Includes illustrative snippets but not concrete coding style rules or implementation prescriptions.
- Build and Run: Yes. Provides exact commands for setup, building, formatting, running the compiler, and evaluating programs.
- Testing: Yes. Includes commands for running tests and describes the HSpec golden testing setup and patterns.
- Configuration and Environments: Yes. Covers environment setup steps (installing GHC/cabal/tools, setting up HLS) via mise tasks.
- Deployment and Operations: No. No CI/CD or deployment procedures described.
- Project Management: No. No planning, backlog, or organizational process content.
- Development Process: No. Workflow steps are local build/test, not Git/PR/review conventions.
- Performance: No. No optimization or performance guidance.
- Security: No. No security architecture or practices discussed.
- UI/UX: No. No user interface or experience guidelines.
- Maintainability: No. Aside from “do not edit” notes, there are no maintainability principles or guidelines.
- Debugging: Yes. Contains a Debugging Tips section with specific flags and locations for dumps/caches.","['ai_integration', 'architecture', 'build_run', 'test', 'config_environment', 'system_overview', 'debugging']",9
