#,repository_owner,repository_name,source_dataset,stargazers_count,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
278,meza,minecraft-mod-manager,copilot-instructions,60,https://github.com/meza/minecraft-mod-manager/blob/main/.github/copilot-instructions.md,System Overview,Development Process,Maintanability,Test,Configuration & Environment,,,,,,,,,,
279,RyanCavanaugh,TypeScript,copilot-instructions,8,https://github.com/RyanCavanaugh/TypeScript/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Claude/AI Integration,Build & Run,Test,Maintanability,,,,,,,,
280,petitstrawberry,Scarlet,copilot-instructions,15,https://github.com/petitstrawberry/Scarlet/blob/main/.github/copilot-instructions.md,Development Process,System Overview,Test,Build & Run,Implementation Details,,,,,,,,,,
281,aavetis,ui-prototyper,copilot-instructions,18,https://github.com/aavetis/ui-prototyper/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,UI/UX,,,,,,,,,,,,
282,ScrumGuides,ScrumGuide-ExpansionPack,copilot-instructions,49,https://github.com/ScrumGuides/ScrumGuide-ExpansionPack/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Configuration & Environment,UI/UX,Implementation Details,Performance,Build & Run,Deployment and Operations,Development Process,Test,Debugging,,,,
283,ocordova,cordova.me,copilot-instructions,5,https://github.com/ocordova/cordova.me/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Performance,Test,Debugging,Configuration & Environment,Claude/AI Integration,,,,,,,
284,dogmatiq,dogma,copilot-instructions,37,https://github.com/dogmatiq/dogma/blob/main/.github/copilot-instructions.md,System Overview,Development Process,Documentation,Implementation Details,Architecture,Maintanability,Build & Run,Test,,,,,,,
285,mysql-net,MySqlConnector,copilot-instructions,1474,https://github.com/mysql-net/MySqlConnector/blob/master/.github/copilot-instructions.md,System Overview,Implementation Details,Performance,Test,,,,,,,,,,,
286,autoguru-au,overdrive,copilot-instructions,45,https://github.com/autoguru-au/overdrive/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,Performance,Maintanability,UI/UX,Documentation,,,,,,,,,
287,microsoft,onnxruntime-genai,copilot-instructions,856,https://github.com/microsoft/onnxruntime-genai/blob/main/.github/copilot-instructions.md,Architecture,System Overview,Build & Run,Test,Implementation Details,Configuration & Environment,Performance,,,,,,,,
288,krissen,polleninformation,copilot-instructions,23,https://github.com/krissen/polleninformation/blob/master/.github/copilot-instructions.md,System Overview,Configuration & Environment,Build & Run,Test,Implementation Details,Architecture,Development Process,Debugging,,,,,,,
289,timmo001,system-bridge,copilot-instructions,312,https://github.com/timmo001/system-bridge/blob/master/.github/copilot-instructions.md,,,,,,,,,,,,,,,
290,catalystneuro,neuroconv,copilot-instructions,65,https://github.com/catalystneuro/neuroconv/blob/main/.github/copilot-instructions.md,Configuration & Environment,Development Process,Documentation,Deployment and Operations,,,,,,,,,,,
291,BrighterCommand,Brighter,copilot-instructions,2312,https://github.com/BrighterCommand/Brighter/blob/master/.github/copilot-instructions.md,,,,,,,,,,,,,,,
292,GrantBirki,json-yaml-validate,copilot-instructions,38,https://github.com/GrantBirki/json-yaml-validate/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Build & Run,Test,Development Process,Implementation Details,Architecture,Deployment and Operations,Maintanability,,,,,,,
293,ublue-os,packages,copilot-instructions,28,https://github.com/ublue-os/packages/blob/main/.github/copilot-instructions.md,Architecture,System Overview,Implementation Details,Build & Run,Test,Project Management,Deployment and Operations,Security,Debugging,,,,,,
294,saebyn,glowing-telegram,copilot-instructions,33,https://github.com/saebyn/glowing-telegram/blob/main/.github/copilot-instructions.md,Build & Run,Test,Architecture,Development Process,Implementation Details,Deployment and Operations,,,,,,,,,
295,Saksham-Goel1107,Dionysus,copilot-instructions,9,https://github.com/Saksham-Goel1107/Dionysus/blob/main/.github/copilot-instructions.md,System Overview,Configuration & Environment,Build & Run,Test,Architecture,Development Process,Debugging,Deployment and Operations,,,,,,,
296,braze-inc,braze-docs,copilot-instructions,15,https://github.com/braze-inc/braze-docs/blob/main/.github/copilot-instructions.md,Development Process,Implementation Details,Claude/AI Integration,UI/UX,,,,,,,,,,,
297,remotion-dev,remotion,copilot-instructions,24286,https://github.com/remotion-dev/remotion/blob/main/.github/copilot-instructions.md,Architecture,Build & Run,Documentation,Development Process,,,,,,,,,,,
298,doggy8088,github-copilot-configs,copilot-instructions,898,https://github.com/doggy8088/github-copilot-configs/blob/main/.github/copilot-instructions.md,Implementation Details,,,,,,,,,,,,,,
299,tfausak,cabal-gild,copilot-instructions,62,https://github.com/tfausak/cabal-gild/blob/main/.github/copilot-instructions.md,Build & Run,Test,Development Process,Maintanability,,,,,,,,,,,
300,spadrapo,drapo,copilot-instructions,10,https://github.com/spadrapo/drapo/blob/master/.github/copilot-instructions.md,Claude/AI Integration,System Overview,Architecture,Test,Build & Run,Development Process,Implementation Details,Maintanability,,,,,,,
301,keepassxreboot,keepassxc,copilot-instructions,24458,https://github.com/keepassxreboot/keepassxc/blob/master/.github/copilot-instructions.md,System Overview,Development Process,Build & Run,Test,Architecture,Configuration & Environment,,,,,,,,,
302,wagtail,sphinx-wagtail-theme,copilot-instructions,33,https://github.com/wagtail/sphinx-wagtail-theme/blob/main/.github/copilot-instructions.md,Claude/AI Integration,UI/UX,,,,,,,,,,,,,
303,NewFuture,DDNS,copilot-instructions,,https://github.com/NewFuture/DDNS/blob/master/.github/copilot-instructions.md,System Overview,Implementation Details,Test,Maintanability,Documentation,Architecture,Development Process,,,,,,,,
304,MicrosoftDocs,azure-devops-docs,copilot-instructions,902,https://github.com/MicrosoftDocs/azure-devops-docs/blob/master/.github/copilot-instructions.md,,,,,,,,,,,,,,,
305,Pipelex,pipelex-cookbook,copilot-instructions,15,https://github.com/Pipelex/pipelex-cookbook/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,System Overview,,,,,,,,,,,,
306,alandtse,alexa_media_player,copilot-instructions,,https://github.com/alandtse/alexa_media_player/blob/master/.github/copilot-instructions.md,System Overview,Configuration & Environment,Maintanability,Test,Build & Run,Development Process,Deployment and Operations,Debugging,Architecture,,,,,,
307,Shelter-Partner,ShelterPartner,copilot-instructions,8,https://github.com/Shelter-Partner/ShelterPartner/blob/main/.github/copilot-instructions.md,System Overview,Development Process,Architecture,Test,Implementation Details,Build & Run,Maintanability,,,,,,,,
308,ably,ably-chat-js,copilot-instructions,, https://github.com/ably/ably-chat-js/blob/main/.github/copilot-instructions.md,System Overview,Documentation,Architecture,Claude/AI Integration,Test,Implementation Details,Maintanability,Debugging,,,,,,,
309,aldrin-labs,opensvm,copilot-instructions,,https://github.com/aldrin-labs/opensvm/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Build & Run,Test,Maintanability,Implementation Details,Documentation,,,,,,,,
310,PrismarineJS,minecraft-data,copilot-instructions,777,https://github.com/PrismarineJS/minecraft-data/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Build & Run,Implementation Details,Development Process,Deployment and Operations,Test,,,,,,,,
311,TimBeyer,node-dlx,copilot-instructions,9,https://github.com/TimBeyer/node-dlx/blob/master/.github/copilot-instructions.md,Test,Performance,Development Process,,,,,,,,,,,,
312,jamesmontemagno,feedbackflow,copilot-instructions,,https://github.com/jamesmontemagno/feedbackflow/blob/main/.github/copilot-instructions.md,Development Process,Build & Run,Test,Architecture,UI/UX,Implementation Details,Debugging,Performance,Documentation,Security,,,,,
313,dotnet,msbuild,copilot-instructions,5438,https://github.com/dotnet/msbuild/blob/main/.github/copilot-instructions.md,System Overview,Build & Run,Test,Development Process,Architecture,Debugging,Implementation Details,,,,,,,,
314,christianhelle,apiclientcodegen,copilot-instructions,193,https://github.com/christianhelle/apiclientcodegen/blob/master/.github/copilot-instructions.md,Architecture,System Overview,Configuration & Environment,Build & Run,Test,Development Process,Maintanability,,,,,,,,
315,zauberzeug,nicegui,copilot-instructions,14240,https://github.com/zauberzeug/nicegui/blob/main/.github/copilot-instructions.md,,,,,,,,,,,,,,,
316,MaxKorlaar,hypixel-signatures,copilot-instructions,12,https://github.com/MaxKorlaar/hypixel-signatures/blob/main/.github/copilot-instructions.md,System Overview,Configuration & Environment,Implementation Details,Architecture,Claude/AI Integration,Documentation,Test,Debugging,,,,,,,
317,versia-pub,server,copilot-instructions,45,https://github.com/versia-pub/server/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,System Overview,,,,,,,,,,,,
318,risingwavelabs,risingwave,copilot-instructions,8441,https://github.com/risingwavelabs/risingwave/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Development Process,Configuration & Environment,Documentation,,,,,,,
319,dotnet,java-interop,copilot-instructions,245,https://github.com/dotnet/java-interop/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Configuration & Environment,Build & Run,Documentation,Debugging,,,,,,,,
320,TECH7Fox,asterisk-hass-integration,copilot-instructions,84,https://github.com/TECH7Fox/asterisk-hass-integration/blob/main/.github/copilot-instructions.md,System Overview,Configuration & Environment,Development Process,Test,Architecture,Project Management,Debugging,Deployment and Operations,,,,,,,
321,digitarald,vscode-agent-todos,copilot-instructions,32,https://github.com/digitarald/vscode-agent-todos/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Security,Test,Performance,Maintanability,,,,,,,,
322,jamesmontemagno,bingo-o-matic,copilot-instructions,,https://github.com/jamesmontemagno/bingo-o-matic/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,Performance,Test,Debugging,Security,,,,,,,,,
323,ArduPilot,MethodicConfigurator,copilot-instructions,96,https://github.com/ArduPilot/MethodicConfigurator/blob/master/.github/copilot-instructions.md,System Overview,Implementation Details,Test,Architecture,Maintanability,,,,,,,,,,
324,microsoft,react-native-windows,copilot-instructions,17034,https://github.com/microsoft/react-native-windows/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Build & Run,Test,Development Process,Performance,Documentation,Maintanability,,,,,,
325,james-gould,azure-keyvault-emulator,copilot-instructions,204,https://github.com/james-gould/azure-keyvault-emulator/blob/master/.github/copilot-instructions.md,System Overview,Configuration & Environment,Build & Run,Test,Development Process,Architecture,Debugging,,,,,,,,
326,owid,owid-grapher,copilot-instructions,1481,https://github.com/owid/owid-grapher/blob/master/.github/copilot-instructions.md,,,,,,,,,,,,,,,
327,malgo-lang,malgo,copilot-instructions,45,https://github.com/malgo-lang/malgo/blob/master/.github/copilot-instructions.md,Architecture,Build & Run,Test,Implementation Details,Debugging,Development Process,System Overview,,,,,,,,
328,Comfy-Org,ComfyUI_frontend,copilot-instructions,1411,https://github.com/Comfy-Org/ComfyUI_frontend/blob/main/.github/copilot-instructions.md,Implementation Details,UI/UX,,,,,,,,,,,,,
329,dotnet,SqlClient,copilot-instructions,952,https://github.com/dotnet/SqlClient/blob/main/.github/copilot-instructions.md,Claude/AI Integration,System Overview,Implementation Details,Test,Development Process,Documentation,Deployment and Operations,Debugging,Architecture,Security,,,,,
330,friendsofhyperf,components,copilot-instructions,109,https://github.com/friendsofhyperf/components/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Test,Documentation,Development Process,Build & Run,Deployment and Operations,Maintanability,,,,,,
331,FricoRico,Versta.Android,copilot-instructions,49,https://github.com/FricoRico/Versta.Android/blob/main/.github/copilot-instructions.md,System Overview,Implementation Details,Development Process,Test,UI/UX,,,,,,,,,,
332,ccampora,mcp_xpp,copilot-instructions,,https://github.com/ccampora/mcp_xpp/blob/main/.github/copilot-instructions.md,Implementation Details,Test,Build & Run,Documentation,,,,,,,,,,,
